username,password,favoriteBookTitle,favoriteBookAuthor,favoriteAuthor
K,password123,The Adventures of Ferdinand Count Fathom Complete,Null,Null
P,0c6U8M&1TO#l,Null,Null,Null
person1,D8p13K7mEGcsBXdRzc5u,Null,Null,T. Smollett
person2,aJUeLxrmJf7WRYx4kteV,The Enchanted April,Null,Null
testUser,password123,Null,Null,Null
someName,jBksGtBvFv,Little Women,Null,William Shakespeare
bookluver23,fbQNP7yPxt,Null,Null,Null
whaleChaser,password123,Moby Dick,Null,Herman Melville
vampireFan,fHsdmuVLvL,Null,Null,Bram Stoker
person3,password123,Middlemarch ,Null,Null
